ID,Year,Latitude,Longitude,Subs,System,Taxon,Effect2,Study,n_subsidy,Subsidy_mean,Subsidy_sd,n_nosubsidy,Nosubsidy_mean,Nosubsidy_sd
Bishop_and_Kelaher2013Ecology_and_Evolution,2013,-34.066389,151.084722,Plant_litter,terrestrial,invertebrate,dir,manipulative,42,0.45,0.235,42,0.43,0.32
Bishop_and_Kelaher2013Ecology_and_Evolution,2013,-34.066389,151.084722,Plant_litter,terrestrial,invertebrate,dir,manipulative,84,24.485,3.265,42,18.17,4.75
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,49.7,5.09,7,42.9,5.7
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,33.6,7.9,7,42.9,5.7
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,43.7,3.5,7,42.9,5.7
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,24.8,1.92,7,42.9,5.7
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,32.9,3.81,7,42.9,5.7
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,27.8,3.09,7,42.9,5.7
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,35.5,3.33,7,42.9,5.7
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,27.3,3.55,7,42.9,5.7
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,28.5,5.52,7,42.9,5.7
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,9.33,2.23,7,7.9,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,7.5,2.17,7,7.9,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,8,1.12,7,7.9,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,5.18,1.47,7,7.9,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,6.01,1.35,7,7.9,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,5.19,1.6,7,7.9,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,7.74,1.39,7,7.9,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,5.61,1.33,7,7.9,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,7.72,2.12,7,7.9,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,17,2.12,7,20.3,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,14.8,2.11,7,20.3,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,16.5,1.08,7,20.3,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,5.52,1.53,7,20.3,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,9.41,1.36,7,20.3,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,4.63,1.58,7,20.3,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,12.5,1.3,7,20.3,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,5.64,1.32,7,20.3,1.9
Bishop_et_al.2010Oecologia,2010,-34.024722,151.17916,Algae,terrestrial,invertebrate,dir,manipulative,7,11.8,2.1,7,20.3,1.9
Bomkamp_et_al.2004,2004,34.241944,-119.89,Invertebrates,aquatic,invertebrate,dir,descriptive,3,2.5,1,3,0.5,0.4
Bomkamp_et_al.2004,2004,34.241944,-119.89,Invertebrates,aquatic,invertebrate,dir,descriptive,3,0.45,0.2,3,0.1,0.2
Bondar-Kunze_et_al2016Science_of_the_Total_Environment,2016,47.8594221,15.0296491,Nutrients,aquatic,other,dir,experimental,8,0.529436183,0.093182558,8,0.493079785,0.062111418
Bondar-Kunze_et_al2016Science_of_the_Total_Environment,2016,47.8594221,15.0296491,Nutrients,aquatic,other,dir,experimental,8,3.348368669,1.204961506,8,0.493079785,0.062111418
Bondar-Kunze_et_al2016Science_of_the_Total_Environment,2016,47.8594221,15.0296491,Nutrients,aquatic,other,dir,experimental,8,3.993416961,0.322994804,8,0.493079785,0.062111418
Bondar-Kunze_et_al2016Science_of_the_Total_Environment,2016,47.8594221,15.0296491,Nutrients,aquatic,other,dir,experimental,8,0.265489059,0.018679921,8,0.191141577,0.093399606
Bondar-Kunze_et_al2016Science_of_the_Total_Environment,2016,47.8594221,15.0296491,Nutrients,aquatic,other,dir,experimental,8,0.339774507,0.124563825,8,0.191141577,0.093399606
Bondar-Kunze_et_al2016Science_of_the_Total_Environment,2016,47.8594221,15.0296491,Nutrients,aquatic,other,dir,experimental,8,0.252074254,0.155697027,8,0.191141577,0.093399606
Bultman2014Ecological_Entomology,2014,65.60386,-16.9961055,Insects,terrestrial,invertebrate,asc,descriptive,2,6.758931248,3.127917996,2,1.83213853,3.067765056
Bultman2014Ecological_Entomology,2014,65.60386,-16.9961055,Insects,terrestrial,invertebrate,asc,descriptive,2,34.17906807,31.2195155,2,5.540221864,7.157850962
